"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,2","5726","15833","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32,1","7779","24231","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32,1","1803","5624","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","44,4","4","9","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","28,9","2969","10263","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","39,6","9050","22849","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31","5278","17000","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","34,8","8892","25579","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","41,3","9360","22640","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,4","3158","10386","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2004","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
